Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
VER7,117,0.089 ,0.049 ,0.421 ,0.749 ,0.693 ,0.267 ,0.757 ,0.196 ,0.155 ,0.299 ,0.623 ,0.439 ,0.503 ,0.247 ,1.194 ,0.434 ,0.797 
VER8,118,0.127 ,0.118 ,0.538 ,0.804 ,0.568 ,0.292 ,0.771 ,0.882 ,0.156 ,0.242 ,0.875 ,0.888 ,0.386 ,0.106 ,1.473 ,0.808 ,0.862 
VER9,119,0.084 ,0.129 ,0.336 ,0.726 ,0.489 ,0.038 ,0.580 ,0.846 ,0.494 ,0.266 ,0.849 ,0.635 ,0.116 ,0.092 ,1.121 ,0.788 ,0.865 
VER10,120,0.061 ,0.118 ,0.118 ,0.619 ,0.577 ,0.062 ,0.665 ,0.539 ,0.316 ,0.039 ,0.596 ,0.041 ,0.256 ,-0.173 ,0.742 ,0.061 ,0.554 
ltAV,121,-0.082 ,0.132 ,0.184 ,0.185 ,0.536 ,0.648 ,0.341 ,0.605 ,0.618 ,0.703 ,0.480 ,0.258 ,0.352 ,0.887 ,0.549 ,0.892 ,0.699 
rtAV,122,-0.077 ,0.084 ,0.265 ,0.322 ,0.683 ,0.431 ,0.676 ,0.629 ,0.849 ,0.418 ,0.830 ,0.237 ,0.558 ,1.091 ,0.642 ,1.067 ,0.847 
ltLP,123,-0.180 ,0.309 ,0.182 ,0.129 ,0.495 ,0.687 ,0.668 ,0.531 ,0.516 ,0.821 ,0.733 ,0.446 ,0.639 ,0.850 ,0.724 ,1.140 ,1.121 
rtLP,124,-0.214 ,0.167 ,0.136 ,0.356 ,0.484 ,0.658 ,0.846 ,0.288 ,0.937 ,0.398 ,0.997 ,0.570 ,0.676 ,0.754 ,0.075 ,0.805 ,1.290 
ltVA,125,-0.164 ,0.152 ,-0.022 ,0.224 ,0.624 ,0.302 ,0.474 ,0.397 ,0.327 ,0.205 ,1.047 ,0.886 ,0.383 ,0.959 ,1.515 ,1.052 ,1.196 
rtVA,126,-0.218 ,0.105 ,0.120 ,0.106 ,0.470 ,0.581 ,0.464 ,0.031 ,-0.025 ,-0.085 ,0.782 ,0.437 ,0.806 ,1.062 ,0.532 ,0.628 ,1.031 
ltVL,127,-0.257 ,0.101 ,0.342 ,0.286 ,0.751 ,0.972 ,0.510 ,0.445 ,0.873 ,0.781 ,1.140 ,0.814 ,0.890 ,1.029 ,0.977 ,1.076 ,1.524 
rtVL,128,-0.243 ,0.084 ,0.207 ,0.292 ,0.569 ,0.688 ,0.525 ,0.344 ,0.993 ,0.505 ,0.998 ,0.874 ,0.822 ,0.998 ,1.098 ,1.168 ,1.439 
ltVPL,129,-0.208 ,0.040 ,0.100 ,-0.187 ,0.339 ,0.471 ,0.159 ,0.401 ,0.471 ,0.891 ,0.895 ,0.599 ,0.537 ,0.551 ,0.215 ,0.901 ,1.048 
rtVPL,130,-0.175 ,-0.009 ,0.057 ,-0.177 ,0.098 ,0.449 ,-0.075 ,0.127 ,0.361 ,0.412 ,0.523 ,0.575 ,0.648 ,0.433 ,-0.169 ,0.544 ,0.811 
ltIL,131,-0.201 ,0.212 ,0.053 ,0.168 ,0.531 ,0.738 ,0.453 ,0.485 ,0.403 ,1.240 ,0.978 ,0.830 ,0.484 ,0.619 ,0.857 ,0.995 ,0.986 
rtIL,132,-0.173 ,0.164 ,0.060 ,0.171 ,0.449 ,0.552 ,0.065 ,0.414 ,0.675 ,0.615 ,0.732 ,0.662 ,0.390 ,0.827 ,0.322 ,0.861 ,1.025 
ltMDm,135,-0.130 ,0.315 ,0.383 ,0.385 ,0.977 ,1.083 ,0.714 ,1.012 ,1.223 ,1.335 ,1.528 ,1.055 ,1.131 ,1.486 ,1.316 ,2.119 ,1.796 
rtMDm,136,-0.117 ,0.312 ,0.325 ,0.434 ,0.912 ,1.118 ,0.825 ,1.092 ,1.446 ,0.982 ,1.392 ,1.005 ,1.201 ,1.378 ,1.020 ,1.966 ,1.773 
ltMDl,137,-0.182 ,0.232 ,0.358 ,0.233 ,0.738 ,0.888 ,0.565 ,0.953 ,0.961 ,1.342 ,1.227 ,0.708 ,1.001 ,1.001 ,0.908 ,1.382 ,1.560 
rtMDl,138,-0.156 ,0.243 ,0.292 ,0.270 ,0.588 ,0.744 ,0.504 ,0.425 ,1.011 ,0.873 ,0.851 ,0.661 ,0.776 ,1.038 ,0.489 ,1.223 ,1.255 
ltLGN,139,-0.108 ,0.180 ,-0.019 ,-0.403 ,0.199 ,0.733 ,0.116 ,0.258 ,-0.017 ,0.070 ,0.424 ,0.172 ,0.338 ,-0.239 ,-0.423 ,0.635 ,0.678 
rtLGN,140,-0.102 ,0.062 ,0.071 ,-0.111 ,0.099 ,0.269 ,0.178 ,0.315 ,0.340 ,0.103 ,0.514 ,0.269 ,0.278 ,0.086 ,0.172 ,0.903 ,0.765 
ltMGN,141,-0.183 ,0.115 ,0.052 ,-0.337 ,0.163 ,0.148 ,0.057 ,0.627 ,0.120 ,0.125 ,0.321 ,0.242 ,0.550 ,-0.290 ,-0.504 ,-0.059 ,0.236 
rtMGN,142,-0.171 ,0.216 ,-0.105 ,-0.370 ,-0.072 ,-0.088 ,-0.031 ,0.347 ,0.298 ,0.591 ,0.264 ,0.140 ,0.324 ,-0.400 ,-0.162 ,-0.007 ,0.188 
ltPuA,143,-0.119 ,0.250 ,0.278 ,0.036 ,0.337 ,0.431 ,0.311 ,0.662 ,0.430 ,0.454 ,0.579 ,0.402 ,0.684 ,0.166 ,0.048 ,0.981 ,1.171 
rtPuA,144,-0.024 ,0.213 ,0.036 ,-0.225 ,0.292 ,0.274 ,0.083 ,0.289 ,0.423 ,0.572 ,0.481 ,0.663 ,0.466 ,0.096 ,-0.045 ,0.565 ,1.124 
ltPuM,145,-0.109 ,0.269 ,0.193 ,0.163 ,0.531 ,0.721 ,0.359 ,0.808 ,0.582 ,0.973 ,1.063 ,0.844 ,1.096 ,0.819 ,0.945 ,1.812 ,1.779 
rtPuM,146,-0.048 ,0.303 ,0.142 ,0.166 ,0.485 ,0.914 ,0.364 ,0.749 ,0.792 ,0.828 ,0.951 ,0.988 ,0.830 ,0.639 ,0.831 ,1.615 ,1.650 
ltPuL,147,-0.123 ,0.230 ,0.268 ,0.216 ,0.566 ,0.611 ,0.378 ,0.670 ,0.661 ,1.310 ,1.102 ,0.749 ,0.979 ,0.737 ,0.665 ,1.776 ,1.545 
rtPuL,148,-0.124 ,0.220 ,0.158 ,0.139 ,0.512 ,0.639 ,0.309 ,0.626 ,0.801 ,1.112 ,0.937 ,0.586 ,0.819 ,0.626 ,0.913 ,1.473 ,1.362 
ltPuI,149,-0.147 ,0.031 ,0.109 ,0.071 ,0.203 ,0.487 ,0.029 ,0.431 ,0.069 ,0.800 ,0.599 ,0.367 ,0.651 ,0.362 ,0.288 ,0.848 ,1.030 
rtPuI,150,0.021 ,-0.090 ,0.122 ,0.069 ,0.059 ,0.138 ,0.155 ,0.039 ,0.177 ,0.024 ,0.372 ,-0.135 ,0.315 ,0.248 ,0.049 ,0.137 ,0.434 
lACCsub,151,-0.445 ,-0.069 ,-0.001 ,0.003 ,0.254 ,0.744 ,0.241 ,0.538 ,0.496 ,0.378 ,0.752 ,0.815 ,0.698 ,0.485 ,0.986 ,1.037 ,1.049 
rACCsub,152,-0.387 ,-0.115 ,-0.139 ,-0.141 ,0.530 ,0.450 ,-0.033 ,0.199 ,0.169 ,0.231 ,0.396 ,0.535 ,0.338 ,0.016 ,0.549 ,0.554 ,0.794 
lACCpre,153,-0.596 ,0.060 ,0.003 ,0.313 ,0.358 ,0.715 ,0.287 ,0.625 ,0.718 ,0.473 ,0.841 ,1.080 ,1.332 ,0.945 ,1.511 ,1.702 ,1.664 
rACCpre,154,-0.567 ,0.074 ,0.065 ,0.218 ,0.382 ,0.839 ,0.253 ,0.530 ,0.608 ,0.567 ,0.763 ,1.007 ,1.114 ,0.518 ,1.137 ,1.177 ,1.543 
lACCsup,155,-0.446 ,0.077 ,-0.073 ,0.506 ,0.317 ,0.475 ,0.224 ,0.672 ,0.871 ,0.684 ,0.908 ,0.787 ,1.063 ,0.952 ,0.796 ,1.522 ,1.334 
rACCsup,156,-0.291 ,0.009 ,-0.075 ,0.349 ,0.266 ,0.016 ,0.133 ,0.135 ,0.372 ,0.243 ,0.660 ,0.231 ,0.837 ,0.312 ,0.412 ,1.145 ,1.079 
lNacc,157,-0.229 ,0.231 ,0.155 ,0.578 ,0.642 ,1.004 ,1.025 ,1.049 ,1.325 ,1.330 ,1.020 ,1.245 ,1.451 ,1.386 ,1.894 ,1.480 ,1.808 
rNacc,158,-0.189 ,0.217 ,0.154 ,0.503 ,0.486 ,0.766 ,1.069 ,0.945 ,1.286 ,1.382 ,0.889 ,1.267 ,1.489 ,1.131 ,0.872 ,1.553 ,1.819 
