Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lMOG,55,-0.421 ,-0.105 ,0.234 ,0.176 ,0.322 ,0.508 ,0.288 ,0.844 ,0.800 ,0.274 ,0.604 ,0.762 ,0.288 ,0.661 ,0.792 ,0.710 ,1.305 
rMOG,56,-0.277 ,0.016 ,0.273 ,0.148 ,0.393 ,0.697 ,0.350 ,0.737 ,0.546 ,0.866 ,0.535 ,1.114 ,0.022 ,0.567 ,0.788 ,0.387 ,1.275 
lIOG,57,-0.297 ,0.029 ,0.101 ,0.048 ,0.325 ,0.211 ,0.151 ,0.402 ,0.593 ,0.802 ,0.291 ,0.444 ,0.417 ,0.435 ,0.275 ,0.841 ,1.058 
rIOG,58,-0.227 ,-0.052 ,0.194 ,0.088 ,0.281 ,0.501 ,0.259 ,0.510 ,0.486 ,0.337 ,0.371 ,0.544 ,0.145 ,0.151 ,0.892 ,0.282 ,0.765 
lFFG,59,-0.310 ,0.153 ,0.597 ,0.932 ,0.813 ,0.827 ,0.891 ,1.081 ,1.112 ,0.990 ,0.777 ,1.559 ,1.242 ,1.270 ,1.242 ,1.382 ,1.651 
rFFG,60,-0.359 ,0.027 ,0.560 ,0.577 ,1.070 ,0.709 ,0.501 ,0.851 ,0.734 ,1.060 ,0.622 ,1.367 ,1.361 ,1.149 ,0.684 ,1.011 ,1.585 
lPoCG,61,-0.481 ,-0.202 ,0.092 ,0.194 ,0.067 ,0.169 ,0.263 ,0.397 ,0.275 ,0.484 ,0.787 ,0.321 ,1.047 ,0.628 ,0.067 ,0.535 ,1.284 
rPoCG,62,-0.444 ,-0.282 ,0.270 ,0.223 ,0.104 ,0.105 ,0.495 ,0.498 ,0.313 ,0.594 ,0.468 ,0.716 ,0.727 ,0.563 ,0.117 ,0.440 ,1.209 
lSPG,63,-0.445 ,-0.158 ,0.213 ,0.136 ,0.181 ,0.332 ,0.280 ,0.059 ,0.109 ,0.553 ,0.439 ,0.399 ,0.365 ,0.154 ,0.034 ,0.828 ,0.874 
rSPG,64,-0.364 ,-0.198 ,0.083 ,0.106 ,0.134 ,0.201 ,0.138 ,-0.063 ,-0.001 ,0.639 ,0.647 ,0.200 ,0.515 ,0.340 ,0.848 ,0.548 ,0.878 
lIPG,65,-0.429 ,-0.124 ,0.439 ,0.042 ,0.227 ,0.304 ,0.442 ,0.497 ,0.526 ,0.805 ,0.560 ,1.136 ,1.018 ,0.795 ,0.673 ,1.154 ,1.206 
rIPG,66,-0.424 ,-0.150 ,0.300 ,0.183 ,0.287 ,0.380 ,0.263 ,0.608 ,0.371 ,1.001 ,0.556 ,0.458 ,0.936 ,0.565 ,0.751 ,0.843 ,1.003 
lSMG,67,-0.385 ,0.006 ,0.164 ,0.085 ,0.385 ,0.225 ,0.030 ,0.395 ,0.553 ,0.602 ,0.438 ,0.769 ,0.645 ,0.342 ,0.990 ,1.029 ,1.128 
rSMG,68,-0.368 ,0.039 ,0.037 ,-0.060 ,0.051 ,0.045 ,0.368 ,0.466 ,0.409 ,1.153 ,0.390 ,0.473 ,0.987 ,0.620 ,0.961 ,0.821 ,1.053 
lANG,69,-0.356 ,-0.092 ,0.265 ,0.274 ,0.256 ,0.509 ,0.454 ,0.650 ,0.807 ,0.421 ,0.581 ,0.736 ,0.731 ,0.324 ,0.966 ,0.962 ,1.176 
rANG,70,-0.366 ,-0.153 ,0.308 ,0.304 ,0.328 ,0.522 ,0.228 ,0.511 ,0.769 ,0.915 ,0.439 ,0.608 ,0.884 ,0.909 ,1.154 ,0.813 ,1.151 
lPCUN,71,-0.668 ,-0.157 ,0.113 ,0.166 ,0.237 ,0.360 ,0.381 ,0.135 ,0.298 ,0.152 ,0.638 ,0.060 ,0.325 ,0.552 ,0.436 ,0.560 ,1.175 
rPCUN,72,-0.634 ,-0.086 ,0.101 ,0.243 ,0.198 ,0.328 ,-0.038 ,0.098 ,0.332 ,0.436 ,0.581 ,0.141 ,0.487 ,0.652 ,0.926 ,0.513 ,1.222 
lPCL,73,-0.636 ,-0.357 ,0.019 ,0.004 ,-0.115 ,0.219 ,-0.190 ,-0.120 ,0.032 ,-0.476 ,0.569 ,0.406 ,0.847 ,0.392 ,-0.567 ,0.289 ,0.954 
rPCL,74,-0.431 ,-0.183 ,0.142 ,0.266 ,-0.080 ,0.436 ,-0.120 ,-0.020 ,0.069 ,-0.074 ,0.399 ,0.303 ,0.253 ,0.486 ,-0.077 ,-0.005 ,0.822 
lCAU,75,-0.094 ,0.224 ,0.157 ,0.273 ,0.601 ,0.589 ,1.164 ,1.269 ,1.255 ,1.462 ,0.938 ,1.393 ,1.541 ,1.782 ,1.216 ,0.950 ,1.691 
rCAU,76,-0.189 ,0.019 ,0.062 ,0.221 ,0.538 ,0.603 ,0.910 ,1.093 ,1.099 ,1.312 ,0.540 ,1.195 ,1.338 ,1.794 ,1.427 ,0.947 ,1.602 
lPUT,77,-0.270 ,-0.250 ,-0.036 ,-0.063 ,0.190 ,0.262 ,0.901 ,0.498 ,0.564 ,0.913 ,0.729 ,1.127 ,0.910 ,1.169 ,1.629 ,1.422 ,1.732 
rPUT,78,-0.285 ,-0.295 ,0.021 ,-0.011 ,0.208 ,0.068 ,0.823 ,0.562 ,0.600 ,0.947 ,0.718 ,1.031 ,0.940 ,1.103 ,1.454 ,1.314 ,1.608 
lPAL,79,-0.550 ,-0.570 ,-0.407 ,-0.719 ,-0.279 ,-0.473 ,-0.101 ,-0.251 ,-0.112 ,0.319 ,0.129 ,0.046 ,0.035 ,0.156 ,-0.620 ,0.131 ,0.062 
rPAL,80,-0.528 ,-0.459 ,-0.317 ,-0.589 ,-0.196 ,-0.740 ,0.043 ,-0.036 ,0.245 ,0.802 ,0.326 ,0.030 ,0.133 ,0.374 ,0.395 ,0.534 ,0.713 
lHES,83,-0.378 ,0.036 ,0.143 ,0.029 ,0.336 ,-0.149 ,0.219 ,0.347 ,0.260 ,0.875 ,0.932 ,0.578 ,0.335 ,0.478 ,0.039 ,0.937 ,1.236 
rHES,84,-0.299 ,0.007 ,-0.050 ,-0.137 ,0.130 ,0.518 ,0.466 ,0.345 ,0.051 ,0.968 ,0.576 ,-0.053 ,0.188 ,0.456 ,0.679 ,0.840 ,0.973 
lSTG,85,-0.524 ,0.079 ,0.250 ,0.103 ,0.488 ,0.561 ,0.249 ,0.784 ,0.595 ,1.096 ,0.770 ,0.766 ,0.944 ,0.971 ,0.938 ,1.525 ,1.639 
rSTG,86,-0.472 ,-0.055 ,0.261 ,0.173 ,0.236 ,0.530 ,0.767 ,0.927 ,0.707 ,1.145 ,0.516 ,0.638 ,1.024 ,0.849 ,0.978 ,1.210 ,1.563 
lTPOsup,87,-0.147 ,0.358 ,0.639 ,0.504 ,0.711 ,0.841 ,0.483 ,0.704 ,0.718 ,0.966 ,0.801 ,1.298 ,1.005 ,1.082 ,0.457 ,1.467 ,1.525 
rTPOsup,88,-0.300 ,0.317 ,0.601 ,0.662 ,0.376 ,0.902 ,0.542 ,0.886 ,0.723 ,0.879 ,0.473 ,0.982 ,1.214 ,0.995 ,0.366 ,1.096 ,1.547 
