Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lPreCG,1,-0.023 ,0.574 ,0.637 ,0.835 ,0.510 ,0.896 ,0.784 ,0.916 ,1.026 ,0.871 ,1.043 ,1.131 ,1.167 ,1.026 ,0.836 ,1.145 ,1.451 
rPreCG,2,-0.015 ,0.378 ,0.613 ,0.792 ,0.574 ,0.617 ,0.778 ,0.807 ,1.143 ,0.869 ,1.058 ,1.134 ,1.058 ,1.206 ,0.692 ,1.309 ,1.337 
lSFG,3,0.008 ,0.535 ,0.801 ,0.863 ,0.894 ,0.916 ,1.108 ,0.906 ,1.215 ,1.382 ,1.324 ,1.282 ,1.446 ,1.349 ,0.969 ,1.444 ,1.658 
rSFG,4,-0.051 ,0.643 ,0.853 ,0.787 ,0.617 ,0.906 ,1.013 ,0.973 ,1.078 ,1.275 ,1.295 ,1.135 ,1.465 ,1.402 ,1.168 ,1.482 ,1.521 
lMFG,5,0.004 ,0.722 ,0.760 ,0.762 ,0.839 ,0.981 ,0.994 ,1.153 ,1.228 ,1.228 ,1.229 ,1.198 ,1.372 ,1.216 ,1.118 ,1.402 ,1.665 
rMFG,6,0.006 ,0.579 ,0.846 ,0.769 ,0.802 ,0.916 ,1.089 ,0.925 ,1.235 ,1.169 ,1.054 ,1.197 ,1.322 ,1.094 ,1.325 ,1.179 ,1.765 
lIFGoperc,7,0.046 ,0.661 ,0.534 ,0.756 ,0.685 ,0.790 ,0.635 ,0.836 ,0.950 ,0.941 ,1.056 ,1.009 ,0.994 ,1.010 ,0.883 ,1.086 ,1.277 
rIFGoperc,8,0.016 ,0.515 ,0.311 ,0.423 ,0.423 ,0.521 ,0.431 ,0.458 ,0.741 ,0.545 ,0.780 ,0.455 ,0.783 ,0.767 ,0.793 ,0.717 ,0.974 
lIFGtriang,9,0.059 ,0.755 ,0.639 ,0.688 ,0.765 ,0.838 ,0.753 ,1.025 ,0.962 ,1.271 ,1.033 ,1.067 ,1.222 ,0.886 ,1.095 ,1.294 ,1.470 
rIFGtriang,10,0.023 ,0.834 ,0.564 ,0.754 ,0.580 ,0.977 ,0.653 ,0.919 ,0.965 ,1.123 ,1.155 ,1.002 ,1.163 ,1.085 ,1.059 ,1.054 ,1.448 
lIFGorb,11,0.021 ,0.508 ,0.825 ,0.619 ,0.543 ,0.872 ,0.666 ,0.912 ,1.005 ,1.158 ,0.919 ,1.057 ,1.507 ,1.426 ,1.295 ,1.835 ,1.436 
rIFGorb,12,-0.029 ,0.650 ,0.530 ,0.639 ,0.525 ,0.762 ,0.693 ,0.976 ,0.969 ,0.957 ,1.056 ,1.306 ,1.368 ,1.428 ,1.425 ,1.347 ,1.471 
lROL,13,-0.090 ,0.473 ,0.471 ,0.520 ,0.699 ,0.785 ,0.874 ,0.902 ,1.132 ,1.236 ,1.364 ,1.347 ,1.358 ,1.516 ,1.246 ,1.403 ,1.697 
rROL,14,-0.001 ,0.579 ,0.579 ,0.773 ,0.637 ,0.866 ,0.878 ,0.819 ,1.187 ,1.225 ,1.237 ,1.321 ,1.311 ,1.419 ,1.415 ,1.557 ,1.402 
lSMA,15,-0.065 ,0.408 ,0.769 ,0.827 ,0.834 ,0.886 ,0.992 ,0.928 ,1.057 ,1.193 ,1.220 ,1.024 ,0.832 ,1.463 ,1.029 ,1.337 ,1.394 
rSMA,16,-0.134 ,0.341 ,0.711 ,0.861 ,0.754 ,0.780 ,0.843 ,0.861 ,0.778 ,1.030 ,1.206 ,0.937 ,1.249 ,1.292 ,0.994 ,1.296 ,1.402 
lOLF,17,-0.164 ,0.513 ,0.518 ,0.533 ,0.626 ,0.786 ,0.744 ,0.674 ,0.753 ,1.067 ,1.072 ,0.973 ,1.413 ,1.252 ,1.564 ,1.087 ,1.910 
rOLF,18,-0.174 ,0.381 ,0.342 ,0.476 ,0.602 ,0.692 ,0.579 ,0.745 ,0.838 ,1.055 ,0.715 ,0.767 ,1.073 ,1.158 ,1.211 ,0.963 ,1.682 
lSFGmedial,19,0.000 ,0.499 ,0.922 ,0.966 ,0.968 ,1.004 ,1.198 ,1.099 ,1.167 ,1.419 ,1.331 ,1.270 ,1.449 ,1.296 ,0.992 ,1.243 ,1.709 
rSFGmedial,20,0.001 ,0.405 ,0.742 ,0.761 ,0.652 ,0.826 ,0.789 ,0.848 ,0.898 ,0.869 ,1.281 ,0.853 ,1.241 ,0.991 ,1.103 ,1.169 ,1.344 
lPFCventmed,21,0.078 ,0.642 ,0.776 ,0.613 ,0.756 ,0.599 ,0.914 ,0.824 ,0.822 ,1.027 ,0.967 ,1.061 ,1.490 ,1.262 ,0.936 ,0.922 ,1.644 
rPFCventmed,22,0.031 ,0.498 ,0.810 ,0.717 ,0.707 ,0.696 ,0.732 ,0.801 ,0.746 ,0.843 ,1.073 ,0.804 ,1.154 ,0.918 ,1.088 ,0.985 ,1.615 
lREC,23,-0.046 ,0.631 ,0.784 ,0.604 ,0.749 ,0.594 ,0.951 ,0.674 ,0.867 ,0.942 ,1.149 ,1.033 ,1.102 ,1.079 ,0.961 ,1.310 ,1.774 
rREC,24,-0.054 ,0.467 ,0.747 ,0.587 ,0.841 ,0.615 ,0.843 ,0.716 ,1.026 ,0.971 ,1.117 ,1.225 ,1.362 ,1.208 ,1.164 ,1.298 ,1.634 
lOFCmed,25,-0.137 ,0.379 ,0.493 ,0.384 ,0.323 ,0.429 ,0.630 ,0.373 ,0.606 ,0.829 ,0.899 ,0.996 ,0.805 ,0.665 ,0.993 ,1.396 ,1.237 
rOFCmed,26,-0.151 ,0.296 ,0.590 ,0.335 ,0.277 ,0.490 ,0.644 ,0.593 ,0.735 ,0.806 ,0.743 ,0.874 ,0.625 ,0.434 ,0.970 ,1.466 ,1.130 
lOFCant,27,-0.019 ,0.321 ,0.596 ,0.440 ,0.314 ,0.593 ,0.563 ,0.574 ,0.805 ,0.830 ,0.851 ,0.569 ,0.793 ,0.599 ,1.300 ,1.299 ,1.203 
rOFCant,28,-0.053 ,0.393 ,0.477 ,0.442 ,0.381 ,0.460 ,0.591 ,0.675 ,0.862 ,0.959 ,0.697 ,0.631 ,0.871 ,0.627 ,1.240 ,0.851 ,1.360 
lOFCpost,29,-0.012 ,0.338 ,0.631 ,0.389 ,0.372 ,0.706 ,0.536 ,0.788 ,0.867 ,1.114 ,1.021 ,0.954 ,1.210 ,1.204 ,1.287 ,1.461 ,1.416 
rOFCpost,30,-0.098 ,0.419 ,0.438 ,0.371 ,0.350 ,0.629 ,0.466 ,0.660 ,0.987 ,1.141 ,1.065 ,1.197 ,1.108 ,1.317 ,1.247 ,1.429 ,1.359 
lOFClat,31,-0.010 ,0.347 ,0.489 ,0.419 ,0.444 ,0.670 ,0.471 ,0.493 ,0.757 ,0.897 ,0.689 ,0.695 ,0.824 ,1.064 ,0.633 ,1.255 ,1.137 
rOFClat,32,-0.048 ,0.510 ,0.311 ,0.507 ,0.421 ,0.411 ,0.478 ,0.658 ,0.603 ,0.398 ,0.405 ,0.802 ,0.906 ,0.918 ,0.822 ,0.962 ,0.876 
lINS,33,-0.178 ,0.580 ,0.569 ,0.632 ,0.785 ,1.101 ,0.903 ,1.048 ,1.208 ,1.282 ,1.360 ,1.418 ,1.389 ,1.797 ,1.501 ,1.911 ,2.104 
rINS,34,-0.155 ,0.638 ,0.636 ,0.706 ,0.843 ,1.035 ,1.024 ,1.088 ,1.166 ,1.465 ,1.421 ,1.521 ,1.644 ,1.919 ,1.756 ,2.015 ,2.263 
lMCC,37,-0.084 ,0.304 ,0.636 ,1.007 ,0.910 ,0.855 ,1.020 ,1.093 ,1.112 ,1.267 ,1.165 ,1.362 ,1.341 ,1.553 ,1.263 ,1.261 ,1.727 
