Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
rMCC,38,-0.103 ,0.342 ,0.691 ,0.990 ,0.788 ,0.971 ,0.938 ,1.129 ,1.419 ,1.285 ,1.323 ,1.372 ,1.331 ,1.391 ,1.166 ,1.373 ,1.757 
lPCC,39,-0.184 ,0.033 ,0.192 ,0.290 ,0.438 ,0.495 ,0.534 ,0.623 ,0.810 ,0.844 ,0.780 ,1.028 ,0.894 ,0.968 ,0.769 ,1.266 ,1.246 
rPCC,40,-0.236 ,0.101 ,0.240 ,0.280 ,0.301 ,0.311 ,0.216 ,0.631 ,0.612 ,0.727 ,0.576 ,0.974 ,0.510 ,0.891 ,0.738 ,1.040 ,1.465 
lHIP,41,-0.487 ,0.054 ,0.076 ,0.307 ,0.477 ,0.692 ,0.602 ,0.674 ,0.766 ,0.748 ,1.367 ,2.017 ,2.213 ,2.235 ,2.136 ,1.693 ,2.522 
rHIP,42,-0.452 ,0.245 ,0.181 ,0.321 ,0.359 ,0.654 ,0.636 ,0.755 ,0.762 ,0.513 ,1.223 ,2.087 ,2.126 ,2.240 ,1.959 ,1.928 ,2.508 
lPHG,43,-0.445 ,-0.051 ,-0.012 ,0.253 ,0.643 ,0.551 ,0.570 ,0.662 ,0.618 ,1.112 ,1.035 ,1.271 ,1.332 ,1.342 ,1.672 ,1.909 ,2.267 
rPHG,44,-0.385 ,-0.047 ,0.119 ,0.286 ,0.556 ,0.770 ,0.459 ,0.802 ,0.971 ,0.934 ,1.083 ,1.137 ,1.354 ,1.582 ,1.894 ,1.911 ,2.071 
lAMYG,45,-0.488 ,-0.203 ,-0.135 ,0.142 ,0.449 ,0.504 ,0.551 ,0.487 ,0.695 ,0.836 ,0.809 ,0.824 ,1.245 ,1.517 ,2.075 ,2.339 ,2.139 
rAMYG,46,-0.517 ,-0.091 ,-0.110 ,0.115 ,0.474 ,0.472 ,0.455 ,0.432 ,0.863 ,0.643 ,0.814 ,0.798 ,1.310 ,1.668 ,2.456 ,2.045 ,2.095 
lCAL,47,-0.111 ,0.144 ,0.326 ,0.338 ,0.480 ,0.459 ,0.870 ,1.004 ,0.807 ,0.479 ,0.991 ,0.812 ,0.889 ,0.918 ,1.016 ,0.651 ,1.375 
rCAL,48,-0.111 ,0.165 ,0.226 ,0.330 ,0.332 ,0.280 ,0.586 ,0.816 ,0.636 ,0.476 ,0.912 ,0.913 ,1.063 ,0.835 ,0.952 ,0.689 ,1.261 
lCUN,49,-0.129 ,0.233 ,0.328 ,0.430 ,0.355 ,0.542 ,0.727 ,1.018 ,0.876 ,0.912 ,0.899 ,0.943 ,0.832 ,0.571 ,0.701 ,1.069 ,1.260 
rCUN,50,-0.201 ,0.120 ,0.256 ,0.375 ,0.427 ,0.547 ,0.799 ,0.864 ,0.887 ,0.778 ,0.748 ,0.962 ,1.026 ,0.931 ,1.059 ,0.565 ,1.314 
lLING,51,-0.189 ,0.214 ,0.363 ,0.280 ,0.513 ,0.475 ,0.788 ,1.056 ,0.983 ,0.902 ,1.114 ,1.006 ,1.093 ,1.451 ,1.227 ,1.344 ,1.636 
rLING,52,-0.194 ,0.209 ,0.367 ,0.398 ,0.533 ,0.356 ,0.802 ,0.992 ,0.945 ,0.885 ,1.201 ,1.100 ,1.297 ,1.307 ,1.061 ,1.053 ,1.696 
lSOG,53,-0.104 ,0.281 ,0.389 ,0.359 ,0.144 ,0.462 ,0.422 ,0.723 ,0.684 ,0.856 ,0.697 ,0.714 ,0.760 ,0.341 ,0.785 ,0.978 ,1.099 
rSOG,54,-0.113 ,0.104 ,0.210 ,0.314 ,0.272 ,0.294 ,0.461 ,0.682 ,0.498 ,0.830 ,0.431 ,0.554 ,0.842 ,0.817 ,0.749 ,0.590 ,1.010 
lMOG,55,-0.111 ,0.351 ,0.355 ,0.535 ,0.535 ,0.603 ,0.709 ,1.059 ,0.971 ,1.141 ,1.014 ,1.056 ,0.804 ,0.719 ,1.079 ,0.857 ,1.518 
rMOG,56,-0.110 ,0.071 ,0.291 ,0.355 ,0.523 ,0.451 ,0.612 ,0.982 ,0.742 ,0.962 ,0.686 ,0.765 ,1.037 ,1.355 ,0.602 ,1.194 ,1.189 
lIOG,57,-0.055 ,0.350 ,0.503 ,0.517 ,0.336 ,0.507 ,0.635 ,0.779 ,0.954 ,0.927 ,0.852 ,1.077 ,0.846 ,0.925 ,1.402 ,1.236 ,0.983 
rIOG,58,-0.009 ,0.208 ,0.275 ,0.216 ,0.324 ,0.358 ,0.670 ,0.755 ,0.638 ,0.864 ,0.647 ,0.729 ,0.656 ,1.240 ,0.618 ,1.001 ,1.049 
lFFG,59,-0.206 ,0.119 ,0.364 ,0.462 ,0.818 ,0.810 ,0.879 ,1.013 ,1.198 ,1.521 ,1.218 ,1.520 ,1.436 ,1.378 ,1.465 ,1.931 ,2.433 
rFFG,60,-0.130 ,0.265 ,0.485 ,0.414 ,0.736 ,0.841 ,0.841 ,1.078 ,1.279 ,1.339 ,1.564 ,1.217 ,1.285 ,1.557 ,1.336 ,1.928 ,1.997 
lPoCG,61,-0.038 ,0.163 ,0.315 ,0.527 ,0.703 ,0.612 ,1.004 ,0.795 ,0.875 ,1.028 ,1.170 ,1.118 ,1.387 ,1.005 ,0.687 ,0.966 ,1.473 
rPoCG,62,-0.032 ,0.249 ,0.490 ,0.621 ,0.877 ,0.595 ,0.803 ,0.895 ,0.837 ,0.926 ,1.275 ,0.961 ,0.921 ,1.039 ,1.044 ,0.919 ,1.107 
lSPG,63,-0.151 ,0.067 ,0.422 ,0.260 ,0.385 ,0.403 ,0.624 ,0.645 ,0.554 ,1.025 ,0.709 ,0.769 ,0.561 ,0.493 ,0.926 ,0.982 ,0.852 
rSPG,64,-0.155 ,0.125 ,0.377 ,0.336 ,0.512 ,0.355 ,0.840 ,0.423 ,0.657 ,1.013 ,0.833 ,0.851 ,0.950 ,0.386 ,1.281 ,0.845 ,0.872 
lIPG,65,-0.118 ,0.138 ,0.539 ,0.478 ,0.594 ,0.631 ,0.778 ,0.814 ,1.025 ,1.056 ,1.321 ,1.087 ,1.134 ,1.272 ,1.019 ,1.200 ,1.290 
rIPG,66,-0.132 ,0.125 ,0.243 ,0.379 ,0.443 ,0.442 ,0.632 ,0.526 ,0.791 ,0.909 ,0.813 ,0.925 ,0.635 ,0.809 ,0.845 ,0.884 ,1.204 
lSMG,67,-0.043 ,0.229 ,0.357 ,0.464 ,0.696 ,0.450 ,0.797 ,0.663 ,0.815 ,0.971 ,1.287 ,0.954 ,1.079 ,1.166 ,0.792 ,1.426 ,1.332 
rSMG,68,-0.082 ,0.126 ,0.398 ,0.472 ,0.570 ,0.524 ,0.847 ,0.700 ,0.667 ,0.769 ,0.993 ,1.031 ,0.856 ,1.049 ,0.828 ,1.524 ,1.315 
lANG,69,-0.105 ,0.176 ,0.321 ,0.356 ,0.634 ,0.711 ,0.665 ,0.728 ,0.811 ,0.807 ,1.072 ,0.899 ,0.744 ,1.132 ,0.765 ,1.202 ,1.302 
rANG,70,-0.106 ,0.054 ,0.219 ,0.345 ,0.617 ,0.521 ,0.733 ,0.802 ,0.913 ,1.020 ,1.044 ,0.798 ,0.847 ,1.149 ,1.003 ,1.365 ,1.246 
lPCUN,71,-0.209 ,0.146 ,0.475 ,0.575 ,0.628 ,0.617 ,0.874 ,0.969 ,0.938 ,1.033 ,0.924 ,0.797 ,1.004 ,0.839 ,1.235 ,1.137 ,1.251 
rPCUN,72,-0.221 ,0.118 ,0.487 ,0.495 ,0.596 ,0.608 ,0.836 ,1.083 ,1.041 ,1.101 ,1.166 ,1.043 ,1.170 ,1.121 ,1.184 ,1.346 ,1.535 
lPCL,73,-0.117 ,0.048 ,0.400 ,0.509 ,0.405 ,0.479 ,0.804 ,0.480 ,0.630 ,0.509 ,0.682 ,0.494 ,0.502 ,0.825 ,0.720 ,0.942 ,0.646 
rPCL,74,-0.120 ,-0.018 ,0.435 ,0.389 ,0.257 ,0.353 ,0.532 ,0.482 ,0.519 ,0.329 ,0.803 ,0.488 ,0.388 ,0.645 ,0.436 ,1.219 ,0.881 
lCAU,75,-0.451 ,-0.059 ,-0.189 ,-0.177 ,-0.197 ,-0.073 ,0.108 ,0.301 ,-0.051 ,0.370 ,-0.049 ,0.285 ,0.042 ,0.563 ,0.124 ,0.439 ,1.145 
rCAU,76,-0.447 ,-0.086 ,-0.333 ,-0.304 ,-0.266 ,-0.173 ,-0.123 ,0.203 ,-0.097 ,0.182 ,-0.227 ,-0.018 ,-0.088 ,0.389 ,-0.059 ,0.259 ,0.891 
lPUT,77,-0.584 ,-0.393 ,-0.421 ,-0.339 ,-0.301 ,-0.306 ,-0.127 ,-0.134 ,-0.140 ,0.242 ,-0.362 ,-0.157 ,-0.006 ,-0.124 ,0.473 ,0.090 ,0.832 
rPUT,78,-0.649 ,-0.427 ,-0.576 ,-0.309 ,-0.263 ,-0.325 ,-0.025 ,-0.058 ,-0.111 ,0.174 ,-0.503 ,-0.067 ,-0.116 ,-0.279 ,0.663 ,-0.133 ,0.903 
lPAL,79,-0.539 ,-0.577 ,-0.603 ,-0.778 ,-1.035 ,-0.584 ,-0.624 ,-0.765 ,-0.689 ,-0.689 ,-0.712 ,-0.667 ,-0.734 ,-1.075 ,-0.852 ,-0.517 ,-0.520 
rPAL,80,-0.641 ,-0.565 ,-0.661 ,-0.630 ,-0.755 ,-0.536 ,-0.473 ,-0.718 ,-0.313 ,-0.363 ,-0.573 ,-0.581 ,-0.407 ,-0.931 ,-0.505 ,-0.824 ,0.006 
lHES,83,-0.112 ,0.425 ,0.377 ,0.521 ,0.644 ,0.643 ,0.713 ,0.806 ,0.888 ,0.854 ,1.194 ,1.133 ,0.999 ,1.180 ,1.156 ,1.043 ,1.505 
rHES,84,-0.043 ,0.362 ,0.487 ,0.398 ,0.532 ,0.643 ,0.499 ,0.824 ,0.895 ,0.741 ,1.061 ,1.268 ,1.257 ,0.776 ,1.099 ,1.476 ,1.346 
lSTG,85,-0.095 ,0.420 ,0.438 ,0.489 ,0.925 ,0.870 ,0.930 ,0.968 ,1.126 ,1.421 ,1.660 ,1.383 ,1.545 ,1.685 ,1.224 ,1.765 ,2.028 
rSTG,86,-0.070 ,0.293 ,0.573 ,0.554 ,0.543 ,0.722 ,0.853 ,0.928 ,1.195 ,1.264 ,1.453 ,1.404 ,1.196 ,1.543 ,1.398 ,1.775 ,1.929 
lTPOsup,87,-0.186 ,0.068 ,0.550 ,0.467 ,0.746 ,0.814 ,0.824 ,0.912 ,1.020 ,1.230 ,1.055 ,1.043 ,1.212 ,1.318 ,1.361 ,1.966 ,1.953 
rTPOsup,88,-0.143 ,0.265 ,0.530 ,0.506 ,0.631 ,0.711 ,0.719 ,0.875 ,1.257 ,1.177 ,1.118 ,0.915 ,1.075 ,1.144 ,1.492 ,1.798 ,1.895 
lMTG,89,-0.132 ,0.235 ,0.455 ,0.700 ,0.979 ,0.883 ,0.893 ,1.117 ,1.183 ,1.437 ,1.816 ,1.375 ,1.667 ,1.664 ,1.783 ,1.711 ,2.206 
rMTG,90,-0.196 ,0.291 ,0.524 ,0.516 ,0.866 ,0.938 ,0.951 ,1.178 ,1.333 ,1.530 ,1.696 ,1.560 ,1.523 ,1.806 ,1.539 ,2.011 ,2.146 
lTPOmid,91,-0.193 ,-0.095 ,0.242 ,0.174 ,0.431 ,0.497 ,0.299 ,0.587 ,0.394 ,1.141 ,0.821 ,0.663 ,1.066 ,0.621 ,1.163 ,1.849 ,1.432 
rTPOmid,92,-0.190 ,0.113 ,0.243 ,0.296 ,0.292 ,0.507 ,0.456 ,0.692 ,0.799 ,1.215 ,1.048 ,0.744 ,1.056 ,0.804 ,1.267 ,1.678 ,1.532 
lITG,93,-0.133 ,0.266 ,0.484 ,0.456 ,0.497 ,0.686 ,0.738 ,0.842 ,0.966 ,1.186 ,1.371 ,1.040 ,1.276 ,1.114 ,1.538 ,1.648 ,1.838 
rITG,94,-0.282 ,0.191 ,0.402 ,0.465 ,0.805 ,0.717 ,0.857 ,0.920 ,1.264 ,1.471 ,1.560 ,1.152 ,1.339 ,1.520 ,1.642 ,1.901 ,1.895 
lCERCRU1,95,-0.137 ,-0.169 ,-0.217 ,0.039 ,0.064 ,0.126 ,0.159 ,0.260 ,0.470 ,0.530 ,0.488 ,0.273 ,0.013 ,0.433 ,0.539 ,0.775 ,1.035 
rCERCRU1,96,-0.162 ,-0.250 ,-0.143 ,-0.002 ,0.078 ,0.185 ,0.114 ,0.177 ,0.348 ,0.556 ,0.253 ,0.186 ,-0.123 ,0.295 ,0.317 ,0.442 ,0.946 
lCERCRU2,97,-0.134 ,-0.155 ,-0.131 ,0.158 ,0.191 ,0.084 ,0.367 ,0.289 ,0.355 ,0.558 ,0.180 ,0.432 ,0.549 ,0.367 ,0.563 ,0.656 ,0.890 
rCERCRU2,98,-0.156 ,-0.274 ,-0.110 ,0.185 ,0.138 ,0.210 ,0.298 ,0.351 ,0.389 ,0.515 ,0.279 ,0.319 ,0.289 ,0.481 ,0.570 ,0.547 ,0.892 
lCER3,99,-0.081 ,-0.090 ,0.058 ,-0.001 ,0.204 ,0.231 ,0.021 ,0.265 ,0.200 ,0.281 ,0.064 ,0.572 ,0.335 ,0.086 ,0.157 ,-0.061 ,0.697 
rCER3,100,-0.133 ,-0.032 ,0.025 ,0.051 ,0.028 ,0.325 ,0.059 ,0.104 ,0.141 ,0.247 ,-0.048 ,0.515 ,-0.109 ,0.145 ,0.197 ,0.443 ,0.553 
lCER4_5,101,-0.154 ,-0.195 ,-0.070 ,-0.030 ,0.184 ,0.251 ,0.193 ,0.184 ,0.452 ,0.410 ,0.078 ,0.567 ,0.420 ,0.362 ,0.469 ,0.314 ,0.928 
rCER4_5,102,-0.144 ,-0.199 ,-0.049 ,-0.034 ,0.243 ,0.297 ,0.273 ,0.296 ,0.473 ,0.542 ,0.276 ,0.630 ,0.201 ,0.346 ,0.400 ,0.682 ,1.029 
lCER6,103,-0.138 ,-0.303 ,-0.113 ,0.046 ,0.352 ,0.270 ,0.289 ,0.465 ,0.668 ,0.644 ,0.464 ,0.430 ,0.506 ,0.509 ,0.305 ,0.835 ,1.176 
rCER6,104,-0.128 ,-0.218 ,-0.016 ,-0.001 ,0.326 ,0.212 ,0.257 ,0.414 ,0.685 ,0.582 ,0.511 ,0.486 ,0.337 ,0.588 ,0.387 ,0.698 ,1.124 
lCER7b,105,-0.053 ,0.003 ,-0.085 ,0.196 ,0.348 ,0.129 ,0.406 ,0.445 ,0.385 ,0.477 ,0.018 ,0.474 ,0.571 ,0.341 ,0.669 ,0.646 ,0.893 
rCER7b,106,-0.073 ,-0.092 ,-0.118 ,0.156 ,0.130 ,0.190 ,0.193 ,0.313 ,0.273 ,0.377 ,0.326 ,0.293 ,0.451 ,0.302 ,0.570 ,0.304 ,0.782 
lCER8,107,-0.096 ,-0.100 ,-0.135 ,0.101 ,0.278 ,0.156 ,0.417 ,0.505 ,0.394 ,0.398 ,0.196 ,0.406 ,0.582 ,0.455 ,0.607 ,0.384 ,0.959 
rCER8,108,-0.115 ,-0.054 ,-0.226 ,0.051 ,0.126 ,0.063 ,0.373 ,0.239 ,0.490 ,0.376 ,0.248 ,0.377 ,0.593 ,0.455 ,0.337 ,0.487 ,0.886 
lCER9,109,-0.051 ,-0.069 ,-0.062 ,0.170 ,0.143 ,0.271 ,0.291 ,0.300 ,0.155 ,0.329 ,0.070 ,0.540 ,0.664 ,0.600 ,0.709 ,0.611 ,0.724 
rCER9,110,-0.079 ,0.025 ,-0.154 ,0.111 ,0.084 ,0.206 ,0.211 ,0.257 ,0.173 ,0.242 ,0.083 ,0.436 ,0.469 ,0.584 ,0.438 ,0.689 ,0.672 
lCER10,111,-0.051 ,-0.061 ,-0.023 ,0.181 ,0.171 ,0.045 ,0.246 ,0.387 ,0.710 ,0.234 ,0.373 ,0.241 ,0.739 ,0.388 ,0.458 ,-0.457 ,0.566 
rCER10,112,-0.016 ,-0.053 ,-0.021 ,0.225 ,-0.072 ,-0.079 ,0.092 ,0.200 ,0.764 ,0.356 ,0.314 ,0.321 ,0.853 ,0.300 ,0.149 ,0.156 ,0.373 
VER1_2,113,-0.183 ,-0.196 ,-0.046 ,-0.013 ,-0.060 ,-0.119 ,-0.223 ,0.100 ,0.228 ,0.129 ,-0.012 ,0.168 ,0.131 ,-0.152 ,0.038 ,-0.015 ,0.330 
VER3,114,-0.117 ,-0.080 ,-0.024 ,0.001 ,0.145 ,0.143 ,0.080 ,0.127 ,0.048 ,0.149 ,0.094 ,0.469 ,-0.078 ,0.021 ,-0.048 ,-0.003 ,0.586 
VER4_5,115,-0.087 ,-0.317 ,-0.099 ,-0.199 ,-0.001 ,-0.080 ,-0.133 ,-0.068 ,0.124 ,0.275 ,0.199 ,0.469 ,0.124 ,0.225 ,0.069 ,0.122 ,0.540 
VER6,116,-0.118 ,-0.215 ,-0.112 ,-0.095 ,0.305 ,0.043 ,0.044 ,0.236 ,0.398 ,0.251 ,0.379 ,0.189 ,0.148 ,0.007 ,-0.040 ,0.653 ,0.620 
VER7,117,-0.072 ,-0.131 ,-0.106 ,0.058 ,0.332 ,0.162 ,0.179 ,0.277 ,0.200 ,0.489 ,0.237 ,0.303 ,0.387 ,0.280 ,0.235 ,0.568 ,0.691 
VER8,118,-0.097 ,-0.161 ,-0.159 ,0.188 ,0.154 ,0.101 ,0.180 ,0.122 ,0.221 ,0.368 ,0.383 ,0.570 ,0.495 ,0.601 ,0.509 ,0.623 ,0.667 
VER9,119,-0.060 ,-0.046 ,-0.188 ,0.188 ,0.180 ,0.176 ,0.231 ,0.173 ,0.292 ,0.210 ,0.161 ,0.180 ,0.628 ,0.509 ,0.746 ,0.461 ,0.704 
VER10,120,-0.043 ,0.025 ,0.020 ,0.062 ,0.153 ,0.222 ,0.232 ,0.080 ,0.404 ,0.010 ,0.020 ,0.200 ,0.602 ,0.348 ,0.623 ,0.155 ,0.379 
ltAV,121,-0.176 ,0.247 ,0.061 ,0.083 ,0.242 ,0.099 ,0.170 ,0.398 ,0.303 ,0.306 ,0.459 ,0.367 ,0.285 ,0.762 ,0.422 ,0.456 ,1.041 
rtAV,122,-0.168 ,0.135 ,0.167 ,0.047 ,0.198 ,0.119 ,0.206 ,0.278 ,0.321 ,0.393 ,0.518 ,0.744 ,0.479 ,0.641 ,0.393 ,0.923 ,1.243 
ltLP,123,-0.308 ,0.050 ,0.072 ,0.107 ,0.081 ,0.109 ,0.250 ,0.350 ,0.313 ,0.304 ,0.070 ,0.563 ,0.764 ,0.536 ,0.569 ,0.526 ,1.304 
rtLP,124,-0.320 ,-0.052 ,0.107 ,0.065 ,0.174 ,-0.025 ,0.512 ,0.424 ,0.553 ,0.660 ,0.598 ,1.072 ,0.567 ,0.790 ,0.450 ,0.861 ,1.449 
ltVA,125,-0.103 ,0.129 ,-0.030 ,0.094 ,0.420 ,0.236 ,-0.101 ,0.411 ,0.228 ,0.111 ,0.511 ,0.085 ,0.337 ,0.915 ,0.332 ,0.304 ,0.885 
rtVA,126,-0.139 ,-0.027 ,-0.100 ,-0.072 ,0.206 ,0.013 ,0.048 ,0.547 ,0.253 ,0.068 ,0.454 ,0.667 ,0.570 ,0.533 ,0.271 ,-0.070 ,0.799 
ltVL,127,-0.364 ,0.059 ,0.138 ,0.077 ,-0.004 ,0.100 ,0.294 ,0.381 ,0.297 ,0.424 ,0.547 ,0.795 ,0.733 ,0.761 ,0.218 ,0.977 ,1.660 
rtVL,128,-0.349 ,0.019 ,0.038 ,-0.005 ,0.027 ,-0.013 ,0.358 ,0.303 ,0.318 ,0.489 ,0.787 ,1.066 ,0.801 ,0.545 ,-0.068 ,0.958 ,1.531 
