Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lSMA,15,-0.590 ,-0.370 ,-0.072 ,0.042 ,0.072 ,0.135 ,0.486 ,0.287 ,0.332 ,0.686 ,0.262 ,0.524 ,0.840 ,0.893 ,1.157 ,1.691 ,1.786 
rSMA,16,-0.586 ,-0.252 ,-0.069 ,-0.057 ,0.213 ,0.211 ,0.370 ,0.450 ,0.326 ,0.922 ,0.397 ,0.719 ,1.115 ,0.579 ,1.080 ,1.795 ,1.747 
lOLF,17,-0.374 ,0.234 ,0.495 ,0.629 ,0.456 ,0.763 ,0.744 ,0.879 ,0.786 ,1.038 ,0.951 ,0.725 ,1.192 ,1.217 ,1.318 ,1.118 ,1.895 
rOLF,18,-0.424 ,0.065 ,0.136 ,0.325 ,0.309 ,0.714 ,0.390 ,0.733 ,0.499 ,0.888 ,0.657 ,0.313 ,0.754 ,0.826 ,1.099 ,0.958 ,1.781 
lSFGmedial,19,-0.531 ,-0.200 ,0.075 ,0.187 ,0.201 ,0.507 ,0.583 ,0.599 ,0.372 ,0.697 ,0.636 ,0.806 ,1.127 ,1.002 ,1.198 ,1.560 ,2.044 
rSFGmedial,20,-0.548 ,-0.221 ,0.165 ,0.200 ,0.297 ,0.362 ,0.158 ,0.619 ,0.451 ,0.340 ,0.706 ,0.558 ,0.972 ,0.764 ,0.945 ,1.255 ,1.758 
lPFCventmed,21,-0.405 ,-0.077 ,0.135 ,0.371 ,0.274 ,0.505 ,0.538 ,0.633 ,0.675 ,0.399 ,1.124 ,0.446 ,1.065 ,0.635 ,0.844 ,0.837 ,1.648 
rPFCventmed,22,-0.467 ,-0.019 ,0.209 ,0.418 ,0.196 ,0.431 ,0.333 ,0.741 ,0.588 ,0.235 ,0.822 ,0.533 ,1.050 ,0.563 ,0.832 ,0.922 ,1.695 
lREC,23,-0.456 ,-0.057 ,-0.032 ,0.519 ,0.181 ,0.427 ,0.505 ,0.633 ,0.918 ,0.741 ,0.849 ,0.424 ,0.682 ,0.991 ,0.966 ,0.622 ,1.781 
rREC,24,-0.376 ,-0.091 ,0.082 ,0.523 ,0.219 ,0.508 ,0.371 ,0.754 ,0.892 ,0.513 ,0.991 ,0.637 ,0.700 ,0.799 ,0.886 ,0.874 ,1.813 
lOFCmed,25,-0.485 ,-0.120 ,-0.130 ,0.361 ,0.135 ,0.243 ,0.287 ,0.255 ,0.536 ,0.792 ,0.366 ,0.224 ,0.231 ,0.913 ,0.907 ,0.922 ,1.705 
rOFCmed,26,-0.524 ,-0.178 ,0.008 ,0.088 ,0.163 ,0.326 ,0.338 ,0.196 ,0.810 ,0.455 ,0.682 ,0.668 ,0.239 ,0.660 ,0.653 ,0.976 ,1.502 
lOFCant,27,-0.475 ,-0.197 ,0.023 ,-0.043 ,-0.016 ,0.375 ,0.175 ,0.384 ,0.235 ,0.672 ,0.315 ,0.236 ,0.637 ,0.432 ,0.734 ,0.999 ,1.354 
rOFCant,28,-0.535 ,-0.136 ,-0.036 ,0.028 ,0.257 ,0.261 ,0.284 ,0.556 ,0.517 ,0.297 ,0.368 ,0.503 ,0.079 ,0.586 ,0.737 ,0.699 ,1.455 
lOFCpost,29,-0.492 ,0.088 ,0.145 ,0.239 ,0.287 ,0.471 ,0.503 ,0.560 ,0.381 ,0.586 ,0.545 ,0.344 ,0.671 ,0.395 ,0.583 ,0.913 ,1.482 
rOFCpost,30,-0.458 ,0.039 ,0.150 ,0.234 ,0.345 ,0.600 ,0.502 ,0.426 ,0.674 ,0.379 ,0.693 ,0.196 ,0.660 ,0.430 ,0.613 ,0.724 ,1.523 
lOFClat,31,-0.415 ,-0.032 ,0.168 ,-0.069 ,0.087 ,0.365 ,0.350 ,0.193 ,0.379 ,0.350 ,0.214 ,0.675 ,0.314 ,0.887 ,0.573 ,0.875 ,1.289 
rOFClat,32,-0.462 ,-0.238 ,0.165 ,0.188 ,0.089 ,0.201 ,-0.211 ,0.147 ,0.512 ,-0.127 ,0.186 ,0.423 ,0.130 ,0.291 ,0.749 ,0.470 ,1.205 
lINS,33,-0.498 ,0.274 ,0.464 ,0.561 ,0.677 ,0.646 ,0.835 ,1.098 ,0.599 ,1.234 ,1.088 ,1.005 ,1.530 ,1.403 ,1.376 ,1.226 ,2.147 
rINS,34,-0.501 ,0.243 ,0.545 ,0.629 ,0.731 ,0.626 ,0.879 ,1.107 ,0.747 ,1.054 ,1.229 ,1.013 ,1.788 ,1.531 ,1.473 ,1.308 ,2.363 
lMCC,37,-0.588 ,-0.044 ,0.093 ,0.212 ,0.292 ,0.536 ,0.608 ,0.539 ,0.585 ,0.443 ,0.813 ,1.052 ,0.950 ,1.114 ,1.154 ,1.636 ,2.104 
rMCC,38,-0.653 ,-0.012 ,0.034 ,0.370 ,0.358 ,0.282 ,0.531 ,0.540 ,0.467 ,0.250 ,0.510 ,0.833 ,0.776 ,0.976 ,1.168 ,1.819 ,2.105 
lPCC,39,-0.329 ,-0.036 ,0.165 ,0.519 ,0.407 ,0.402 ,0.254 ,0.598 ,0.801 ,0.386 ,0.436 ,0.915 ,0.428 ,1.082 ,0.815 ,1.410 ,1.233 
rPCC,40,-0.331 ,0.097 ,0.103 ,0.218 ,0.215 ,0.172 ,0.241 ,0.247 ,0.615 ,0.542 ,0.402 ,0.563 ,0.477 ,0.676 ,0.667 ,1.187 ,0.953 
lHIP,41,0.090 ,1.053 ,0.993 ,1.113 ,1.328 ,1.054 ,1.194 ,1.310 ,1.377 ,1.350 ,1.344 ,1.251 ,1.461 ,1.777 ,1.377 ,1.541 ,1.742 
rHIP,42,0.101 ,1.079 ,1.036 ,0.934 ,1.091 ,0.935 ,1.080 ,1.406 ,1.078 ,0.971 ,1.363 ,0.870 ,1.196 ,1.710 ,1.416 ,1.490 ,1.811 
lPHG,43,-0.093 ,0.461 ,0.549 ,0.995 ,0.960 ,0.684 ,1.077 ,0.849 ,1.178 ,0.809 ,0.973 ,1.085 ,1.232 ,1.268 ,0.895 ,0.532 ,1.182 
rPHG,44,-0.138 ,0.470 ,0.583 ,0.941 ,0.892 ,0.623 ,1.006 ,0.773 ,1.081 ,1.049 ,0.953 ,1.305 ,1.342 ,1.176 ,0.883 ,1.277 ,1.400 
lAMYG,45,0.003 ,0.557 ,0.954 ,1.094 ,0.942 ,0.838 ,0.901 ,1.162 ,1.089 ,1.109 ,1.210 ,1.421 ,1.212 ,1.328 ,1.177 ,1.220 ,1.369 
rAMYG,46,-0.041 ,0.497 ,1.044 ,0.993 ,1.011 ,1.015 ,1.004 ,0.945 ,1.327 ,0.981 ,1.432 ,1.318 ,1.408 ,1.271 ,1.008 ,1.164 ,1.384 
lCAL,47,-0.225 ,0.037 ,0.255 ,-0.033 ,0.288 ,0.187 ,0.362 ,0.583 ,0.889 ,0.933 ,0.749 ,1.119 ,0.677 ,0.710 ,0.826 ,0.975 ,1.258 
rCAL,48,-0.259 ,0.095 ,0.236 ,-0.174 ,0.190 ,0.109 ,0.367 ,0.322 ,0.756 ,0.782 ,0.699 ,0.667 ,0.717 ,0.923 ,0.703 ,1.152 ,1.055 
