Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lPUT,77,-0.344 ,-0.005 ,0.008 ,0.400 ,0.553 ,0.678 ,0.633 ,0.519 ,0.792 ,1.425 ,1.303 ,1.160 ,1.132 ,1.507 ,1.262 ,1.159 ,1.383 
rPUT,78,-0.372 ,-0.002 ,0.053 ,0.353 ,0.613 ,0.503 ,0.645 ,0.643 ,0.882 ,1.386 ,1.292 ,1.234 ,1.117 ,1.469 ,1.187 ,0.872 ,1.405 
lPAL,79,-0.398 ,-0.304 ,-0.343 ,-0.456 ,-0.292 ,-0.153 ,-0.214 ,-0.227 ,0.162 ,0.093 ,0.375 ,-0.059 ,-0.508 ,0.376 ,0.513 ,0.114 ,0.017 
rPAL,80,-0.476 ,-0.106 ,-0.250 ,-0.065 ,0.036 ,0.074 ,0.170 ,-0.324 ,0.369 ,0.701 ,0.804 ,0.273 ,0.355 ,0.672 ,0.493 ,0.739 ,0.565 
lHES,83,-0.361 ,0.023 ,0.221 ,0.161 ,0.464 ,0.472 ,0.400 ,0.518 ,0.294 ,0.908 ,0.686 ,0.925 ,0.751 ,0.867 ,0.694 ,1.179 ,1.417 
rHES,84,-0.398 ,-0.105 ,0.291 ,0.189 ,0.432 ,0.094 ,0.200 ,0.375 ,0.149 ,0.500 ,0.159 ,0.612 ,0.695 ,0.546 ,0.305 ,0.920 ,1.181 
lSTG,85,-0.420 ,0.058 ,0.276 ,0.398 ,0.445 ,0.408 ,0.607 ,0.606 ,0.466 ,0.919 ,0.895 ,1.315 ,1.070 ,0.938 ,0.966 ,1.127 ,1.877 
rSTG,86,-0.505 ,0.026 ,0.296 ,0.361 ,0.558 ,0.452 ,0.458 ,0.932 ,0.559 ,0.413 ,0.444 ,0.609 ,1.526 ,0.893 ,1.102 ,0.852 ,1.690 
lTPOsup,87,-0.234 ,0.156 ,0.242 ,0.882 ,0.324 ,0.679 ,1.050 ,0.836 ,0.658 ,0.588 ,0.425 ,1.240 ,1.203 ,0.810 ,0.880 ,1.163 ,1.353 
rTPOsup,88,-0.332 ,0.083 ,0.358 ,0.726 ,0.276 ,0.602 ,0.990 ,0.775 ,0.501 ,0.671 ,0.421 ,1.146 ,1.359 ,0.453 ,0.908 ,1.203 ,1.451 
lMTG,89,-0.399 ,0.118 ,0.271 ,0.529 ,0.513 ,0.534 ,0.708 ,0.873 ,1.155 ,0.770 ,0.939 ,0.936 ,1.254 ,1.290 ,1.273 ,1.392 ,1.935 
rMTG,90,-0.401 ,0.006 ,0.193 ,0.421 ,0.313 ,0.752 ,0.690 ,0.738 ,0.925 ,0.825 ,0.943 ,1.022 ,1.296 ,1.180 ,1.373 ,1.185 ,1.996 
lTPOmid,91,-0.188 ,-0.076 ,-0.032 ,0.591 ,-0.049 ,0.297 ,0.825 ,0.469 ,0.520 ,0.520 ,0.053 ,0.808 ,0.474 ,0.957 ,0.849 ,0.862 ,0.890 
