Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
lPreCG,1,-0.076 ,0.459 ,0.577 ,0.754 ,0.826 ,0.782 ,0.866 ,0.955 ,0.863 ,1.235 ,1.317 ,1.039 ,1.206 ,1.260 ,1.891 ,1.395 ,1.701 
rPreCG,2,-0.089 ,0.322 ,0.574 ,0.799 ,0.567 ,0.782 ,0.831 ,0.841 ,0.917 ,0.950 ,1.317 ,1.373 ,0.977 ,1.214 ,1.909 ,1.090 ,1.629 
lSFG,3,-0.025 ,0.649 ,1.076 ,0.841 ,0.969 ,0.961 ,1.011 ,1.173 ,0.897 ,1.287 ,1.493 ,1.606 ,1.367 ,1.367 ,1.327 ,1.370 ,2.078 
rSFG,4,-0.061 ,0.576 ,0.830 ,0.745 ,0.846 ,0.888 ,1.023 ,1.082 ,1.087 ,1.235 ,1.209 ,1.612 ,1.264 ,1.554 ,1.413 ,1.588 ,1.940 
lMFG,5,-0.058 ,0.586 ,0.796 ,0.784 ,1.025 ,0.964 ,1.210 ,0.947 ,1.094 ,1.221 ,1.347 ,1.564 ,1.320 ,1.834 ,1.483 ,1.714 ,2.036 
rMFG,6,0.011 ,0.675 ,0.895 ,0.712 ,0.868 ,0.867 ,1.068 ,0.942 ,0.925 ,1.263 ,1.211 ,1.431 ,1.321 ,1.306 ,1.750 ,1.381 ,1.964 
lIFGoperc,7,0.002 ,0.767 ,0.605 ,0.636 ,0.731 ,0.836 ,0.900 ,1.070 ,0.859 ,1.024 ,1.184 ,1.103 ,1.199 ,1.103 ,1.392 ,1.388 ,1.848 
rIFGoperc,8,0.039 ,0.682 ,0.388 ,0.392 ,0.459 ,0.470 ,0.809 ,0.589 ,0.599 ,0.774 ,0.910 ,0.738 ,1.172 ,0.715 ,0.797 ,1.120 ,1.084 
lIFGtriang,9,-0.008 ,0.873 ,0.669 ,0.655 ,0.703 ,0.725 ,1.255 ,0.999 ,0.963 ,1.200 ,0.998 ,1.299 ,1.267 ,1.366 ,1.259 ,1.662 ,1.715 
rIFGtriang,10,0.039 ,0.796 ,0.596 ,0.580 ,0.745 ,0.620 ,1.205 ,0.897 ,0.835 ,1.099 ,0.984 ,1.167 ,1.378 ,1.458 ,1.280 ,1.422 ,1.828 
lIFGorb,11,0.045 ,0.523 ,0.829 ,0.697 ,0.611 ,0.716 ,1.131 ,0.867 ,0.931 ,0.993 ,1.106 ,0.911 ,1.078 ,1.274 ,0.823 ,1.522 ,1.873 
rIFGorb,12,0.028 ,0.647 ,0.799 ,0.691 ,0.774 ,0.628 ,1.227 ,0.933 ,0.701 ,1.139 ,1.170 ,0.860 ,1.190 ,1.502 ,0.848 ,1.742 ,1.794 
lROL,13,-0.119 ,0.399 ,0.747 ,0.701 ,0.594 ,0.838 ,0.842 ,0.888 ,0.996 ,1.463 ,1.502 ,1.564 ,1.338 ,1.469 ,1.022 ,1.753 ,1.730 
rROL,14,-0.055 ,0.504 ,0.752 ,0.569 ,0.658 ,0.911 ,0.869 ,0.632 ,1.044 ,1.248 ,1.225 ,1.248 ,1.101 ,1.268 ,1.320 ,1.656 ,1.653 
lSMA,15,-0.086 ,0.328 ,0.739 ,0.672 ,0.643 ,1.043 ,0.859 ,0.938 ,1.043 ,0.872 ,1.282 ,1.252 ,1.297 ,1.551 ,1.383 ,1.314 ,1.677 
rSMA,16,-0.162 ,0.324 ,0.600 ,0.699 ,0.540 ,0.969 ,1.002 ,0.847 ,0.992 ,1.102 ,1.132 ,1.136 ,1.073 ,1.560 ,1.485 ,1.572 ,1.674 
lOLF,17,-0.285 ,0.257 ,0.488 ,0.628 ,0.676 ,0.534 ,0.793 ,0.739 ,0.879 ,0.865 ,1.192 ,0.927 ,1.260 ,0.854 ,1.796 ,1.195 ,1.770 
rOLF,18,-0.260 ,0.218 ,0.656 ,0.564 ,0.533 ,0.442 ,0.659 ,0.664 ,0.788 ,0.675 ,0.901 ,0.805 ,1.036 ,0.853 ,1.196 ,0.796 ,1.487 
lSFGmedial,19,-0.011 ,0.600 ,0.910 ,0.878 ,0.926 ,0.855 ,1.153 ,1.036 ,1.109 ,1.354 ,1.601 ,1.664 ,1.470 ,1.794 ,1.818 ,1.605 ,2.115 
rSFGmedial,20,-0.048 ,0.466 ,0.682 ,0.645 ,0.595 ,0.719 ,0.897 ,0.716 ,0.929 ,1.051 ,1.184 ,1.379 ,1.262 ,1.310 ,1.367 ,1.480 ,1.685 
lPFCventmed,21,0.010 ,0.599 ,0.801 ,0.632 ,0.774 ,0.828 ,1.257 ,0.887 ,0.951 ,0.931 ,1.136 ,1.304 ,1.447 ,1.502 ,1.373 ,1.498 ,1.857 
rPFCventmed,22,-0.022 ,0.629 ,0.872 ,0.719 ,0.836 ,0.734 ,1.100 ,0.898 ,0.932 ,0.827 ,1.182 ,1.273 ,1.413 ,1.402 ,1.000 ,1.132 ,1.698 
lREC,23,-0.078 ,0.533 ,0.841 ,0.652 ,0.941 ,0.719 ,1.055 ,1.105 ,1.143 ,0.752 ,1.009 ,1.328 ,1.333 ,1.041 ,1.267 ,0.959 ,1.820 
rREC,24,-0.116 ,0.525 ,0.558 ,0.565 ,1.016 ,0.668 ,1.006 ,1.053 ,1.010 ,0.947 ,0.918 ,1.343 ,1.324 ,0.953 ,1.128 ,1.043 ,1.680 
lOFCmed,25,-0.219 ,0.279 ,0.646 ,0.486 ,0.745 ,0.486 ,0.795 ,0.691 ,0.676 ,0.680 ,0.660 ,0.885 ,1.105 ,0.448 ,1.335 ,0.740 ,1.483 
rOFCmed,26,-0.267 ,0.211 ,0.545 ,0.436 ,0.890 ,0.484 ,0.795 ,0.918 ,0.533 ,0.888 ,0.782 ,1.124 ,0.844 ,0.995 ,1.101 ,1.343 ,1.351 
lOFCant,27,-0.134 ,0.359 ,0.629 ,0.559 ,0.755 ,0.584 ,1.027 ,0.786 ,0.456 ,0.657 ,0.818 ,0.757 ,0.774 ,0.615 ,0.987 ,1.365 ,1.644 
rOFCant,28,-0.117 ,0.250 ,0.647 ,0.562 ,0.781 ,0.584 ,1.048 ,0.707 ,0.411 ,0.903 ,0.850 ,0.905 ,0.772 ,0.791 ,1.081 ,1.372 ,1.624 
lOFCpost,29,-0.119 ,0.368 ,0.774 ,0.542 ,0.613 ,0.347 ,0.845 ,0.670 ,0.680 ,0.958 ,0.939 ,0.840 ,1.039 ,0.959 ,1.391 ,1.207 ,1.551 
rOFCpost,30,-0.096 ,0.355 ,0.765 ,0.663 ,0.546 ,0.586 ,0.871 ,0.693 ,0.527 ,0.796 ,1.013 ,0.754 ,0.959 ,1.162 ,0.849 ,1.171 ,1.533 
lOFClat,31,-0.003 ,0.384 ,0.736 ,0.556 ,0.439 ,0.533 ,0.976 ,0.402 ,0.627 ,0.767 ,0.696 ,0.667 ,0.530 ,0.851 ,0.622 ,1.404 ,1.428 
rOFClat,32,0.025 ,0.456 ,0.603 ,0.468 ,0.430 ,0.421 ,0.843 ,0.492 ,0.419 ,0.578 ,0.725 ,0.563 ,0.554 ,0.617 ,0.602 ,1.383 ,1.032 
lINS,33,-0.168 ,0.466 ,0.879 ,0.985 ,0.769 ,0.687 ,1.088 ,1.094 ,1.099 ,1.386 ,1.488 ,1.496 ,1.532 ,1.543 ,1.376 ,1.597 ,2.198 
rINS,34,-0.157 ,0.544 ,0.858 ,1.039 ,0.794 ,0.762 ,1.113 ,1.117 ,1.162 ,1.378 ,1.428 ,1.689 ,1.783 ,1.724 ,1.626 ,1.517 ,2.335 
lMCC,37,-0.186 ,0.360 ,0.546 ,0.742 ,0.723 ,1.056 ,1.136 ,1.006 ,1.240 ,1.122 ,1.333 ,1.282 ,1.669 ,1.741 ,1.556 ,1.762 ,2.276 
rMCC,38,-0.174 ,0.350 ,0.658 ,0.790 ,0.811 ,1.059 ,1.152 ,0.974 ,1.065 ,1.132 ,1.258 ,1.081 ,1.571 ,1.598 ,1.262 ,1.465 ,2.135 
lPCC,39,-0.229 ,0.023 ,0.084 ,0.345 ,0.374 ,0.433 ,0.576 ,0.483 ,0.713 ,0.655 ,0.611 ,0.788 ,0.871 ,1.346 ,0.934 ,1.070 ,1.458 
rPCC,40,-0.245 ,0.042 ,0.053 ,0.264 ,0.346 ,0.449 ,0.420 ,0.354 ,0.428 ,0.693 ,0.457 ,0.718 ,0.699 ,0.884 ,0.696 ,0.319 ,1.301 
lHIP,41,-0.559 ,-0.057 ,0.071 ,0.366 ,0.431 ,0.412 ,0.590 ,0.960 ,1.096 ,0.907 ,1.174 ,0.829 ,1.265 ,1.332 ,1.407 ,1.164 ,2.007 
rHIP,42,-0.525 ,-0.060 ,0.053 ,0.275 ,0.460 ,0.318 ,0.477 ,0.797 ,0.864 ,0.749 ,1.142 ,0.744 ,1.066 ,0.965 ,1.155 ,1.242 ,1.984 
lPHG,43,-0.509 ,-0.211 ,-0.145 ,0.243 ,0.463 ,0.726 ,0.586 ,0.657 ,0.929 ,0.822 ,0.901 ,0.920 ,0.882 ,1.125 ,1.158 ,1.773 ,1.978 
rPHG,44,-0.442 ,-0.128 ,0.113 ,0.203 ,0.463 ,0.468 ,0.631 ,0.646 ,0.850 ,0.784 ,0.890 ,0.957 ,1.136 ,1.361 ,1.100 ,1.762 ,1.951 
lAMYG,45,-0.614 ,-0.210 ,-0.044 ,0.173 ,0.222 ,0.586 ,0.455 ,0.676 ,0.769 ,0.854 ,0.887 ,0.958 ,1.035 ,0.913 ,1.353 ,1.446 ,1.944 
rAMYG,46,-0.634 ,-0.252 ,-0.054 ,0.219 ,0.145 ,0.447 ,0.544 ,0.721 ,0.624 ,0.597 ,1.012 ,0.905 ,0.864 ,1.065 ,1.081 ,1.576 ,1.902 
lCAL,47,-0.106 ,0.129 ,0.105 ,0.184 ,0.555 ,0.277 ,0.701 ,0.741 ,0.667 ,0.676 ,0.894 ,0.798 ,1.033 ,0.990 ,1.458 ,1.095 ,1.542 
rCAL,48,-0.089 ,0.219 ,0.034 ,0.264 ,0.447 ,0.423 ,0.544 ,0.516 ,0.453 ,0.655 ,0.724 ,0.709 ,0.798 ,0.836 ,1.141 ,0.997 ,1.283 
lCUN,49,-0.208 ,0.142 ,0.268 ,0.228 ,0.607 ,0.355 ,0.641 ,0.845 ,0.751 ,0.850 ,1.049 ,1.067 ,1.230 ,1.238 ,1.796 ,0.898 ,1.830 
